time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,f,r
2001-09-07 04:00:00,25.611801127263984,25.903319015025193,25.652399036994645,54.11224285090804,49.72669060912343,53.724295293671844,284.49776213886446,285.89873587917793,294.53840501521336,430.9130288688281,431.30849064224583,427.2446304536523,27.91531751674776,27.437642535085907,27.838860982540677,26.0,26.0,26.0,4.749049901770603,4.890310776354733,15.398050850529758,11.548538137897294,16.866563075179876,24.80429185910422,28.538086491479802,16.999999999999996,21.221263548536324,0.14071411257934413,20.600151664176998,12.20000000000001,59.100628354171484,0.46828587063874827,9,0
2001-09-07 05:00:00,25.113488206391377,25.49217168152198,25.14686390788249,54.11224285090804,49.72669060912343,53.724295293671844,284.49776213886446,285.89873587917793,294.53840501521336,417.2776518034131,417.4483767723596,414.916339948352,27.806593320133647,27.186995977785042,27.74565276466727,26.0,26.0,26.0,4.749049901770603,4.890310776354733,15.398050850529758,11.548538137897294,16.866563075179876,24.80429185910422,28.538086491479802,16.999999999999996,21.221263548536324,0.14071411257934413,20.600151664176998,11.954166666666667,60.06890748932906,0.46828587063874827,9,0
2001-09-07 06:00:00,24.76904472074006,25.1464317428302,24.731711489484614,54.11224285090804,49.72669060912343,53.724295293671844,284.49776213886446,285.89873587917793,294.53840501521336,409.6566807835837,409.7240667226362,408.1666439863555,27.634622953398072,27.025132637010014,27.697851040161073,26.0,26.0,26.0,4.749049901770603,4.890310776354733,15.398050850529758,11.548538137897294,16.866563075179876,24.80429185910422,28.538086491479802,16.999999999999996,21.221263548536324,0.14071411257934413,20.600151664176998,11.945833333333335,57.85935296703197,0.46828587063874827,9,0
2001-09-07 07:00:00,25.14778911498155,25.052270012695995,24.657371963477868,54.11224285090804,49.72669060912343,53.724295293671844,284.49776213886446,285.89873587917793,294.53840501521336,405.3972313377455,405.41927050635854,404.4712090385984,26.255157179298106,26.421441775946462,27.04677843901106,26.0,26.0,26.0,4.749049901770603,4.890310776354733,15.398050850529758,11.548538137897294,16.866563075179876,24.80429185910422,28.538086491479802,16.999999999999996,21.221263548536324,0.14071411257934413,20.600151664176998,13.871666666666666,51.924916638057425,0.46828587063874827,9,0
2001-09-07 08:00:00,25.884519644776194,25.298331053209886,24.955941761625663,57.6580855366691,64.8585233292165,66.3069139979387,447.3539148352439,209.47419501035438,233.1205046931491,588.6508934426977,599.6501019951063,598.2793547205164,34.169093245234095,35.446214005691864,35.991218919582614,26.0,26.0,26.0,17.715616831696185,18.539163018226578,16.086648497391984,12.064986373043986,15.681430499511693,24.809510730984723,2.534991205737097,15.459999999999992,21.060794947216376,0.16433440890341494,21.987800235029543,17.2225,46.3904939884065,0.5389364396613628,9,0
2001-09-07 09:00:00,26.08179945491168,25.740565792158726,25.518585261049004,37.8522232176373,46.467453545888276,50.992432086946316,957.5856055996909,560.6442704987662,583.2010603126197,945.0945726556598,1145.4301540983092,1131.2693747691399,40.95325389307205,42.981677237828286,43.35034300447604,26.0,26.0,26.0,14.265485890200013,13.823174065013609,21.153846886171113,15.865385164628332,16.12888269937692,24.661045791585682,19.858378278990706,15.706666666666667,19.830838536263514,0.4105426877745663,22.077323240780245,20.522499999999997,38.85691948070749,1.2241342322830242,9,0
2001-09-07 10:00:00,26.13851291380255,25.9434537150712,25.799056725595165,25.384171140648878,34.90099221856937,42.316084508316244,1235.6453525824554,831.5044318610031,862.7876870882885,702.8168111051624,895.3645669194236,875.67449515093,35.70796626820855,37.294551475367044,37.455485890685985,26.0,26.0,26.0,13.913767386000016,13.498229659347187,26.12002157802279,19.59001618351709,15.864705951226096,25.225013840933027,31.931537439140868,15.119999999999997,17.802896024385607,0.749172652207651,22.711463392327097,23.576666666666668,30.34231954375982,1.8715451912147278,9,0
2001-09-07 11:00:00,26.201024192776178,26.0699839167518,25.942681557464812,8.803990550595653,21.47721571025835,35.072446935586484,1457.8770481379397,1099.7385309568892,1145.7802919538394,708.8751837580953,827.664418563579,810.1095988039465,32.528347905348205,33.39455013912132,33.528299146351436,26.0,26.0,26.0,15.024238611051812,14.469075579649568,31.821145035729923,23.865858776797438,16.055430441804123,26.076449571531978,1.7711905710484623,15.0,15.497482768823152,1.2827131223339088,23.558525169051222,26.08166666666666,24.419478722335484,2.5231636515246296,9,0
2001-09-07 12:00:00,26.124181011476427,26.112019129631012,25.98735055228557,5.746237021116622,11.293388210623903,32.3122607838997,1668.7213237114584,1350.9859247715951,1396.237645958955,672.2351039094845,745.5930319984651,732.407884448035,29.973496347940475,30.389626508637765,30.527825110317874,26.0,26.0,26.0,19.22123017483432,18.5888415898264,40.496371315772556,30.37227848682941,16.36650599859327,26.44918963343489,0.0,15.0,13.459975861451651,2.0191918890179696,24.845749903816856,27.495,20.93488417693876,3.0230330581101126,9,0
2001-09-07 13:00:00,25.991398591137777,26.071716340191195,25.99415116627213,16.252793575852387,9.696981849407825,32.19703166607636,1836.1907045642042,1566.5714294715908,1608.3381309525037,637.7839138882129,683.9752996663098,676.5812076161826,27.76724358177446,27.90520221819598,27.980126253706445,26.0,26.0,26.0,24.7960462547407,24.626259116189612,46.22516693235986,34.668875199269905,16.697382914052444,26.679784555008176,0.0,15.0,11.995960458746856,2.923510494224837,26.326132579497315,28.34083333333333,19.069088311373168,3.3939831721881637,9,0
